hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
11688,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11688,Masculino,Varón,No especificado,20-24,Si,victima
11689,Femenino,Mujer,No especificado,25-29,Si,victima
11689,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11690,Masculino,Varón,No especificado,35-39,Si,victima
11690,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11691,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11691,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11691,Femenino,Mujer,No especificado,20-24,Si,victima
11692,Masculino,Varón,No especificado,35-39,Si,victima
11692,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11693,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11693,Masculino,Varón,No especificado,40-44,Si,victima
11694,Masculino,Varón,No especificado,15-19,Si,victima
11694,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11695,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11695,Masculino,Varón,No especificado,20-24,Si,victima
11696,Masculino,Varón,No especificado,45-49,Si,victima
11696,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11697,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11697,Masculino,Varón,No especificado,4 o menos,No,victima
11697,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11698,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11698,Masculino,Varón,No especificado,40-44,Si,victima
11699,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11699,Masculino,Varón,No especificado,55-59,Si,victima
11700,Masculino,Varón,No especificado,20-24,Si,victima
11700,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11701,Masculino,Varón,No especificado,20-24,Si,victima
11701,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11702,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11702,Masculino,Varón,No especificado,15-19,No,victima
11703,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11703,Masculino,Varón,No especificado,20-24,Si,victima
11704,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11704,Femenino,Mujer,No especificado,40-44,Si,victima
11705,Femenino,Mujer,No especificado,35-39,Si,victima
11705,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11706,Masculino,Varón,No especificado,15-19,Si,victima
11706,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11707,Masculino,Varón,No especificado,50-54,Si,victima
11707,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11708,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11708,Masculino,Varón,No especificado,20-24,Si,victima
11709,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11709,Femenino,Mujer,No especificado,45-49,Si,victima
11716,Masculino,Varón,No especificado,20-24,Si,victima
11716,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11717,Masculino,Varón,No especificado,25-29,Si,victima
11717,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11719,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11719,Masculino,Varón,No especificado,75-79,Si,victima
11720,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11720,Masculino,Varón,No especificado,35-39,Si,victima
11721,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11721,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11721,Masculino,Varón,No especificado,45-49,Si,victima
11722,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11722,Masculino,Varón,No especificado,40-44,Si,victima
11723,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11723,Masculino,Varón,No especificado,15-19,Si,victima
11724,Masculino,Varón,No especificado,65-69,Si,victima
11724,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11725,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11725,Masculino,Varón,No especificado,30-34,Si,victima
11726,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11726,Masculino,Varón,No especificado,20-24,Si,victima
11727,Masculino,Varón,No especificado,40-44,Si,victima
11727,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11727,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11728,Masculino,Varón,No especificado,40-44,Si,victima
11728,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11729,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11729,Masculino,Varón,No especificado,15-19,Si,victima
11730,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11730,Masculino,Varón,No especificado,20-24,Si,victima
11731,Masculino,Varón,No especificado,15-19,No,victima
11731,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11731,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11732,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11732,Masculino,Varón,No especificado,15-19,No,victima
11733,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11733,Masculino,Varón,No especificado,20-24,Si,victima
11734,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11734,Masculino,Varón,No especificado,25-29,Si,victima
11735,Femenino,Mujer,No especificado,15-19,No,victima
11735,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11736,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11736,Masculino,Varón,No especificado,45-49,Si,victima
11747,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
