id_hecho,localidad_id,anio,mes,fecha_hecho,hora_hecho,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,motivo_origen_registro,motivo_origen_registro_otro
16183,30.0,2018,11,2018-11-18,02:55:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16184,30.0,2018,11,2018-11-25,00:10:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16185,,2018,11,2018-11-16,21:45:00,Vía pública,No especificado,Vía pública,Orden judicial,No especificado
16186,70.0,2018,11,2018-11-28,04:45:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16187,70.0,2018,11,2018-11-30,12:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16188,50.0,2018,12,2018-12-02,03:51:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16189,50.0,2018,12,2018-12-06,01:32:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16190,40.0,2018,11,2018-11-19,20:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16191,100.0,2018,11,2018-11-27,23:35:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16193,60.0,2018,8,2018-08-02,03:00:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16194,60.0,2018,8,2018-08-10,21:30:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16195,60.0,2018,8,2018-08-21,17:45:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16196,10.0,2018,9,2018-09-05,14:18:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16197,40.0,2018,9,2018-09-21,05:30:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16198,30.0,2018,9,2018-09-16,02:10:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16199,40.0,2018,9,2018-09-17,19:00:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16203,10.0,2018,10,2018-10-11,10:00:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16204,20.0,2018,10,2018-10-11,00:15:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16205,50.0,2018,10,2018-10-21,21:15:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16206,20.0,2018,10,2018-10-13,05:20:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
